"","Nr","Code","Name","Group","Source","Timespan","n","decimals","pr_tied","pr_NAs","rt_tied","rt_NAs","pr_unique","pr_ties","rt_unique","rt_ties","pr_avg_tie_length","pr_max_tie_length","rt_avg_tie_length","rt_max_tie_length"
"234","27","IBX50","Brazil 50 Index","AMER","_IN.csv","2010-01-01 to 2021-07-15","2853","2","12","0","0","0","2847","6","2853","0","1.00210748155954","2","1","1"
"235","27","IBX50","Brazil 50 Index","AMER","_IN.csv","2000-01-01 to 2009-12-31","1733","2","8","0","0","0","1729","4","1733","0","1.00231347599769","2","1","1"
"236","27","IBX50","Brazil 50 Index","AMER","_EI.csv","1950-01-01 to 2021-07-15","4588","4","22","0","3","0","4577","11","4586","1","1.00240332095259","2","1.00043610989969","3"
"237","27","IBX50","Brazil 50 Index","AMER","_EI.csv","2010-01-01 to 2021-07-15","2854","4","10","0","2","0","2849","5","2853","1","1.001755001755","2","1.00035050823694","2"
"238","27","IBX50","Brazil 50 Index","AMER","_EI.csv","2000-01-01 to 2009-12-31","1734","2","8","0","0","0","1730","4","1734","0","1.00231213872832","2","1","1"
"239","28","GSPTSE","Toronto Stock Exchange Composite","AMER","_YF.csv","1950-01-01 to 2021-07-15","10786","1","1182","249","490","476","10064","460","10298","2","1.07174085850556","249","1.04738784229948","476"
"240","28","GSPTSE","Toronto Stock Exchange Composite","AMER","_YF.csv","2010-01-01 to 2021-07-15","2894","1","152","0","0","0","2818","76","2894","0","1.02696948190206","2","1","1"
"241","28","GSPTSE","Toronto Stock Exchange Composite","AMER","_YF.csv","2000-01-01 to 2009-12-31","2562","1","118","46","92","87","2481","37","2472","2","1.03264812575574","46","1.03640776699029","87"
"242","28","GSPTSE","Toronto Stock Exchange Composite","AMER","_YF.csv","1990-01-01 to 1999-12-31","2610","1","292","90","173","170","2419","101","2439","2","1.07895824720959","90","1.07011070110701","170"
"243","28","GSPTSE","Toronto Stock Exchange Composite","AMER","_YF.csv","1980-01-01 to 1989-12-31","2609","1","367","108","212","209","2369","127","2399","2","1.10130856901646","108","1.08753647353064","209"
"244","28","GSPTSE","Toronto Stock Exchange Composite","AMER","_YF.csv","1970-01-01 to 1979-12-31","111","1","9","5","12","10","105","3","101","2","1.05714285714286","5","1.0990099009901","10"
